title,slogan,address,phone/0,email,web,categories/0,phone/1,categories/1,categories/2,socialNetwork/0,socialNetwork/1,categories/3,phone/2,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categories/10,categories/11,categories/12,socialNetwork/2,socialNetwork/3,categories/13,categories/14,categories/15,categories/16,categories/17,categories/18,categories/19,,phone/3,phone/4,phone/5,phone/6,phone/7,phone/8,phone/9,categories/20,categories/21,categories/22,categories/23,categories/24,categories/25
Repuestos Damato Santa Cruz Ps,, Av. Virgen de Cotoca Nº 2075 ,3470226,,,Repuestos y accesorios para automotores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Porvenir,, Av. Cañoto Nº 256 ,3363000,,,Iluminación domiciliaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTORA PENIEL S.R.L.,, Barrio Oriental Calle 11 N° 05 ,3401458,,,"Servicios de contabilidad, teneduría de libros y auditoria; consultoría fiscal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUVAR PUBLICIDAD S.R.L.,," Calle Pico De Monte, Barrio Santa Rosita N° 28 ",3570344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMONETTI ARQUITECTURA,Estudio de Arquitectura, calle Libertad Nº 899 - Edif. Plaza Libertad - Of. 127 -128 ,3453961,ansi@cotas.com.bo,www.simonettiarquitectura.web.bo,Arquitectos,3453943,,,,,,72155007,,,,,,,,,,,,,,,,,,,,71653541,,,,,,,,,,,,
Inbustrade - Wilden,, Calle Musani Nº 30 ,3334515,,,Bombas neumáticas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retenes Rome,, Av. Grigota Nº 770 ,3556272,,,Mangueras para agua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONTANO LOGISTICS S.R.L.,, Parque Industrial N° S/n ,3484806,,,Almacenamiento y depósito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUZA TROPICAL GARDEN,, Av. 26 De Febrero (2do Anillo Casi Esq. Roca Y Rocabado) N° 773 Edificio: S/n. Piso: S/n. Oficin ,3468778,,,"Actividades de jardines botánicos, zoológicos y de parques nacionales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips,, Suarez de Figueroa Nº 77 ,3322286,,,Iluminación domiciliaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROPECUARIA JALISCO S.A.,," Barrio Casco Viejo, Calle Junin N° S/n ",,,,Cultivo de productos agrícolas en combinación con la cría de animales (explotaci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRILLCO SGDMC,, Km18 Carretera Cotoca-puerto Paila N° S/n ,3419394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTORA PACHECO TAVOLARA,, Condominio Ciudad Jardin Calle Bugambillas N° 18 ,3444610,,,"Servicios de contabilidad, teneduría de libros y auditoria; consultoría fiscal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roghur,, Arenales Nº 451 ,3369494,,,Bombas de agua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPER BARATILLO,Variedad y Precios Bajos, Calle Quijarro N° 237 ,3360429,superbaratillo@hotmail.com,www.superbaratillo.com,Artículos para el hogar,71679815,Bazares,Casas de regalos,,,Tiendas comerciales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pana - Bol,, Av. Irala Nº 650 ,3368896,,,Repuestos y accesorios para automotores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOGPETROL,, Calle Sayubu N° 317 ,3595476,,,Transporte automotor de carga por carretera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONILUM S.R.L,, C/ Nataniel Aguirre Esq. Aquiles Gomez N° S/n ,3707790,,,Otras actividades de esparcimiento y recreativas n.p.c.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiovisual Multimedia System,, C. Los Jazmines Nº 3 ,3420331,,,Iluminación domiciliaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROPECUARIA HURMEN S.R.L.,," C/ Litoral, Barrio 25 De Diciembre N° 202 ",9220003,,,Cultivo de productos agrícolas en combinación con la cría de animales (explotaci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DITO S S.R.L.,, Av. Perimetral Externa N° S/n Edificio: Mitsuba ,3480003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTORA ORSINI,, Barrio Ramafa Calle Chaco N° 222 ,3550010,,,Actividades de arquitectura e ingeniería y actividades conexas de consultoría té,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorarg,, Calle Florida Nº 595 ,3327265,,,Bombas de agua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSA,Seguridad Privada y Vigilancia, Radial Nº 26 Calle: Cristo Rey Nº 111 ,3421917,,192.185.29.196/~persaseg/,Seguridad física privada y vigilancia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSERVING,, Calle Rio Espejillos N° 12 ,78441149,,,"Instalaciones de fontanería, calefacción y aire acondicionado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROPECUARIA GUZMAN S.R.L.,, C/betzabe AÑez N° S/n ,708-20501,,,Cultivo de caña de azúcar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford Center,, Mons. Salvatierra Nº 333 ,3342191,,,Repuestos y accesorios para automotores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRIBUIDORA A & W DE BOLIVIA S.R.L.,, Calle La Plata N° 10 ,3425647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOGITRUCK S SERVICE S.R.L.,, Barrio Convifag Av. 18 De Mayo N° 4675 ,3410534,,,Transporte automotor de carga por carretera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCCER CITY,, Calle 1 B/ Las Pampitas N° S/n ,3497261,,,Actividades deportivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTORA ORGANIZACIONAL HOYOS S.R.L.,," Av. Virgen De Lujan, Barrio Rancho Nuevo N° 2624 ",3413019,,,"Servicios de contabilidad, teneduría de libros y auditoria; consultoría fiscal ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROPECUARIA GUAPURU,, Calle Sin Nombre ,3437989,,,"Cultivo de cereales, legumbres y semillas oleaginosas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAKHASSAN,Restaurante, Av. Las Américas Nº 71 ,3322323,ma.chao@makhassan.com,,Restaurantes de comida internacional,3393872,Restaurantes de mariscos y pescados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIUS SERVICIOS SRL,, Av. Busch C/ Costa Rica N° 50 Edificio: Costa Rica Oficina: 203 ,3587454,,,Construcción de edificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ras Ltda,, Calle La Riva 167 ,3328653,,,Repuestos y accesorios para automotores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISEÑO & AMBIENTES RUTH TRIGO,, Calle Los Taropes Esq. Av. Mutualista N° 419 ,3621200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Templo Evangelico Cristiano,, Av. Irala Ejército Nacional ,3344558,,,Iglesias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOGISTICA DE FRIO INTERNACIONAL LOGFRINTER S.R.L.,, Carretera A Cotoca Km 10 1/2 N° S/n Edificio: Fridosa Piso: _s/n ,3-882323,,,Transporte automotor de carga por carretera ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrodiesel,, Av. Cristo Redentor Nº 146 ,3327669,,,Bombas de inyección diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROPECUARIA GUAPOMO S.A.,, Av. San Martin C/la Plata N° 23 Edificio: Weizel & Asociados ,9622431,,,Cría de ganado bovino y búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferpa,, Av. Grigotá Nº 481 ,3540383,,,Repuestos y accesorios para automotores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centro derehabilitacion Para Drogadictos y Alcholicos,, Horacio Rios Nº 64 ,3327841,,,Iglesias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHOW GAMES S.R.L.,," B/ Villa Mercedes, Calle Tembeta N° 604 ",3426600,,,"Producción de obras de teatro, conciertos, espectáculos musicales, danza y otras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DINALPLAS - CARMEN SILENIA GOMEZ,," Calle Diego De Mattos, Barrio Magisterio N° 3610 ",3497816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTORA OLIVER,, Calle 27 De Mayo N° 153 ,3346098,,,Actividades de arquitectura e ingeniería y actividades conexas de consultoría té,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRISA S.R.L.(PROYECTO RURAL INSTITUCIONAL SOCIAL Y AMBIENTAL,, Calle Claudio PeÑaranda N° 77 ,3354780,,,Construcción de edificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOGISTIC CENTER CLIE IMPORT EXPORT. S.R.L.,, Av. Alemana Calle Los Junos N° 2153 ,72120666,,,Otras actividades de apoyo al transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRI - BOI,Centro Agroveterinario," Av. Beni # 6230, 2 cuadras pasando el 6to. Anillo ",3446363,arivera@agriboi.com.bo,www.agriboi.web.bo,Productos veterinarios,3446364,Veterinarias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidraubras Srl,, Carr. Al Norte Km. 4 1/2 ,3431677,,,Servicios de mantenimiento y reparación de equipos hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multipartes Santa Cruz Srl,, Av. Cristo Redentor Nº 282 ,3430289,,,Repuestos y accesorios para automotores,3428783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROPECUARIA FRANCESCA S.A.,, Av. Las Pampas N° 568 ,3426686,,,Cultivo de productos agrícolas en combinación con la cría de animales (explotaci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centro Cristiano Casa de Oración,, Horacio Rios Nº 64 ,3327841,,,Iglesias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DILLMA SUSANA CALLAPA LLUSCO,, Av. Internacional- 8vo Anillo N° S/n ,73684601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVICIO INTEGRAL DE EVENTOS S.R.L.,, Warnes N° 665 ,3326505,,,"Producción de obras de teatro, conciertos, espectáculos musicales, danza y otras ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTORA LLANOS,, C/cochabamba N° 236 ,922-6591,,,"Servicios de contabilidad, teneduría de libros y auditoria; consultoría fiscal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRENOTEX,, Av.canal Pedro Velez Barrio Tropical N° 367 ,3424202,,,Construcción de edificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOGIS-CRUZ,, B/las Palmas C/ Puerto Busch N° 15 ,352-1315,,,Transporte automotor de carga por carretera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMURAI S.R.L.,Materiales para la Industria de Colchones, Av. Santa Cruz N° 2537 ,3460531,samurai@entelnet.bo,192.185.29.195/~samura1/,Colchones,3476004,Insumos y accesorios para colchones,,,,,75019979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovando,, ,3363100,,,Distribuidores de automotores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boliviana Srl,, Edif. Dn. Alcides Piso 2 Of 204 ,3369214,,,Suministros industriales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIEGO 77,," Avenida Virgen De Lujan, Barrio El Dorado N° S/n ",79079442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROPECUARIA FLAMBOYAN S.R.L.,, Carretera Montero - Saavedra Km 5 N° S/n ,92-21808,,,Cultivo de productos agrícolas en combinación con la cría de animales (explotaci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jorge,, Km. 2 1/2 Av. Cristo Redentor ,3426804,,,Textiles,3492016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RONNY DANIEL ULISES GENTILI ROJAS,, Suarez Arana N° 375 ,75008995,,,Actividades deportivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DORIAN,Fotografia Digital, Calle Ingavi Nº 215 entre Velasco y Colón ,3338521- 6454770 (Cel. Sucre),,www.fotodorian.web.bo,Estudios fotográficos,,Laboratorios fotográficos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nipon Parts Toyota Genuine,, Vallegrande Nº 502/Mons. Salvatierra ,3329080,,,Repuestos y accesorios para automotores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTORA JURIDICA CONTABLE FENIX MABORE,, Calle Bailon Mercado N° 170 ,3330759,,,Actividades de consultoría de gestión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POXIGAS,, Urbanizacion Quior C/3 N° 27 ,3602682,,,"Instalaciones de fontanería, calefacción y aire acondicionado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMBERG GUTIERREZ RODAS,, B/ Coca Cola___calle 3 N° S/n ,3271909,,,Transporte automotor de carga por carretera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilucron Srl,, Av. 26 de Febrero Nº 553 ,3529625,,,Iluminación domiciliaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICOMET S.R.L.,, Radial 17 1/2 Final B/ Yabog 7mo Y 8vo Anillo N° 7700 ,3449116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROPECUARIA EMIR SRL,, Avenida Loma De Bibosi Barrio Los Angeles N° S/n ,75009588,,,Cultivo de caña de azúcar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiller & Cia Ltda,, Av. El Trompillo Esq. Chaco ,3522520,,,Bombas de agua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROLEA CENTER,," Calle ""j"" Este N° 120 Edificio: Rolea Center Piso: Pb Oficina: 120 ",3447525,,,Actividades deportivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOS IMPORTACIONES,"Salud, Belleza y Nutrición", Calle 21 de Mayo N° 585 ,3340802,ventas@eosimportaciones.com,www.eosimportaciones.web.bo,Alimentos dietéticos,3340801,Productos naturales,Salud y nutrición,,,,75016540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Solución del Zusuki,, Av. Ovidio Barberia Nº 491 ,3431123,,,Repuestos y accesorios para automotores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTORA JURIDICA CALI,, Calle Beni N° 684 Piso: 1 ,3755405,,,Servicios jurídicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urbari,, Calle Igmiri Nº 506 ,3522288,,,Hoteles 4 estrellas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIBARI MOBILI S.R.L.,, 3er Anillo Externor N° 3110 ,3438037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telares Santa Cruz Ltda.,, Km. 27 Carretera Al Norte ,3338206,,,Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PINTURAS VERITEK,, Regimiento 24 N° 477 ,,,,Terminación de edificios y obras de ingeniería civil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LETRANS SERVICIOS,, C/san Juan N° 29 ,320-3478,,,Transporte automotor de carga por carretera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROPECUARIA EL TAJU S.R.L.,, Propiedad Los Paltos. N° S/n ,3443000,,,Cría de ganado bovino y búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIVILEGE FITNESS S.R.L,, Av. Santos Dumont N° S/n ,78029922,,,Actividades deportivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inclan,, Av. Grigotá Nº 760 ,3581876,,,Repuestos y accesorios para automotores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORRETEN S.R.L.,IMPORTACIONES Y REPRESENTACIONES, Av. Banzer calle Las Maras No. 2035 ,3444747,info@correten.com,www.correten.web.bo,Correas,3444748,Importaciones y representaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTORA JC JUSTINIANO,, Calle Isaias Parada N° 254 ,9227922,,,"Servicios de contabilidad, teneduría de libros y auditoria; consultoría fiscal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEONIDAS CABRERA CUELLAR,, Calle Las Palmeras N° 13 ,3554259,,,Transporte automotor de carga por carretera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumitec,, Calle 24 de Septiembre Nº 630 A ,3362300,,,Iluminación domiciliaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROPECUARIA EL RESPINGUE S.R.L.,, Av. Willy Tordoya N° S/n Piso: S/n. Oficina: S/n. ,76602203,,,Cultivo de productos agrícolas en combinación con la cría de animales (explotaci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIASOL S.R.L.,, Urb.el Trapiche Carretera A Cotoca N° S/n ,3622586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PINTATEX,, Radial 17 1/2 Sexto Anillo Barrio Santa Ana N° 11 ,70286614,,,Terminación de edificios y obras de ingeniería civil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POKER,, Av.roca Y Coronado N° S/n ,3310631,,,"Producción de obras de teatro, conciertos, espectáculos musicales, danza y otras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosacruz Ltda Cia Suizo,, Av. Santos Dumont Nº 476 ,3584462,,,Repuestos y accesorios para automotores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterossa Srl,, Parque Industrial Via Diagonal 4 Pi 36-11 ,3468131,,,Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROPECUARIA EL ENCANTO S.A.,, B/ Equipetrol C/ Plata N° 23 ,9622431,,,Cultivo de productos agrícolas en combinación con la cría de animales (explotaci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTORA INTEGRAL ARQPLAN,, Barrio Villa Mercedes N° 3025 ,3550004,,,Actividades de arquitectura e ingeniería y actividades conexas de consultoría té,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEMAX S.R.L.,, Barrio Union Calle Pando N° 62 ,3621072,,,Transporte automotor de carga por carretera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORNO CALIENTE,, Calle Chuquisaca esq. Moldes ,3326309,,www.hornocaliente.web.bo,Salones de eventos sociales,3369736,Salones de té,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilumeco,, Calle Puerto Suarez Nº 260 ,3337786,,,Iluminación domiciliaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANET FIT S.R.L.,, Avenida Busch-3er.anillo Externo N° S/n Edificio: Ic Norte Piso: 1 ,77339494,,,Actividades deportivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasticos Carmen Srl,, Parque Industrial Bloque 20 Pi B-20 ,3489616,,,Tratamiento de soldadura en plástico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PINCRUZ S.R.L,, Calle Velasco B 18 De Marzo Av Cumavi N° S/n ,3356768,,,Construcción de edificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELICRUZ S.A.,, Calle Cuellar Esq. Libertad N° S/n Edificio: Marea Piso: 1 Oficina: 101 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center Parts,, Calle Warnes Nº 457 ,3330808,,,Repuestos y accesorios para automotores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siete Calles,, Calle Suares de Figueroa Esq. Cordillera Nº 495 ,3364488,,,Hoteles 4 estrellas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROPECUARIA DOÑA FLORA S.R.L.,, Av. 24 De Septiembre N° S/n ,9246623,,,Cultivo de caña de azúcar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLOXY,Muchas Opciones para Festejar con Nosotros, 2do Anillo esq. Alameda Junin ,3300929,,www.goloxy.com,Organización de eventos,70860064,Parques de diversión,Restaurantes de comida rápida,,,Salones de fiestas,70911146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVOLPE,," Barrio Magisterio, Calle Genesis N° 77 ",3427021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEITRANS,, B/hilanderia Sobre La Av.hilanderia N° 4550 ,73105533,,,Transporte automotor de carga por carretera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIRINEOS S.R.L.,, Av. Mutualista G77 9no Anillo Interno ,3707791,,,"Producción de obras de teatro, conciertos, espectáculos musicales, danza y otras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIARLI,, Av. Escuadron Velasco N° 315 Edificio: Piarli Piso: 1 ,3521619,,,Terminación de edificios y obras de ingeniería civil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textil Grigota Sa,, Carr A Cotoca Km. 11 1/2 ,3882424,,,Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTORA GUILLEN,, Calle Sucre N° 575 Edificio: Alfa Piso: 2 Oficina: 1 ,3302447,,,"Servicios de contabilidad, teneduría de libros y auditoria; consultoría fiscal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa del Amortiguador,, Av. Cristobal de Mendoza Nº 785 ,3471347,,,Repuestos y accesorios para automotores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Inn,, Colon Nº 643 ,3362323,,,Hoteles 5 estrellas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROPECUARIA DON QUIJOTE S.R.L.,, Camino Al Cidral Km 1.9 N° S/n ,9227035,,,Cultivo de caña de azúcar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG LOGISTICS,Operador de Carga, Barrio Hamacas calle 7 Oeste # 17 ,3418935,,www.amarillas.bo/aglogistcs,A.g.logistics,3446377,Almacenes,Servicios de mudanza,,,Transporte de carga,,Transporte de carga aéreo,Transporte de carga marítimo,Transporte de carga terrestre,Transporte internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVID PACHECO RODRIGUEZ,, Barrio Paquio N° S/n ,3494313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCI CARGO S.R.L.,," Barrio San Silvestre, Calle San Pedro S/n ",3600274,,,Transporte automotor de carga por carretera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylvia Palma Moraga,, Calle F Este Nº 6 Barrio Equipetrol ,3425761,,,Bienes raíces e Inversiones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODYSSEY S.R.L.,, Av. Roca Y Coronado N° 996 ,3515638,,,Actividades de bibliotecas y archivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIACON CONSTRUCTORA,, Calle Bolivar N° 353 Edificio: Shopping Bolivar Piso: 3er Oficina: 353 ,3352710,,,Construcción de edificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTORA EXECUTIVE FORUMS S.R.L.,, Calle Ñuflo De Chavez N° 333 ,334-3887,,,Actividades de consultoría de gestión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equiparts,, Av. Cristo Redentor Nº 30 ,3371193,,,Repuestos y accesorios para maquinaria pesada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROPECUARIA DON HAROLDO S.R.L.,, Calle Avaroa N° 137 ,9220841,,,Cultivo de productos agrícolas en combinación con la cría de animales (explotaci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yotau,, Av. San Martin Nº 7 ,3367799,,,Hoteles 5 estrellas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMAD,Soluciones Integrales para Edificaciones, Calle Corumba N° 2060 ,,,www.emad.web.bo,Empresas de servicios integrales,,Servicios de administracón de condominios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.S INGENIERIA,, Barrio Guaracahi Calle 2 N° 9 ,3487076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATINA LTDA. AGENCIA DESPACHANTE DE ADUANA,, C/ Bolivar N° 27 Edificio: Shopping Bolivar Piso: 02 Oficina: 208 ,3362121,,,Otras actividades de apoyo al transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desal Importadora,, Calle 24 de Septiembre Nº 614 ,3354076,,,Mangueras para agua,3369024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NITRO GYM S.R.L.,, Av. Tercer Anillo Externo N° 24 ,70880293,,,Actividades deportivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETREX S.A. - SUCURSAL BOLIVIA,, Av.equipetrol 4to Anillo N° 4200 Edificio: Torres Duo Piso: 14 Oficina: Abcd ,3884001,,,"Preparación de terreno, para obras posteriores de actividades de construcción",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
